index_,date_,location_type,grade,display_grade,location,color,description,wall_type,hold_type,style,setter
100189,2018-11-29,indoor,7,V7,Dogpatch,blue,"Blue swinging jump dyno to a crimp, jug finish, Women’s Comp Final #1",overhang,"crimp, jug",comp,Sean Nanos
100190,2018-11-30,indoor,6,V6,Planet Granite Sunnyvale,yellow,Yellow run and jump to pipes,face,jug,comp,
100191,2018-12-16,indoor,6,V6,The Studio Climbing,orange,Orange run and jump to the right,face,pinch,comp,Kessler
100192,2018-12-19,indoor,9,V9,Dogpatch,blue,"Blue dynamic moves to a shelf, then a difficult mantle",overhang,"crimp, sloper",dyno,Radu Popescu
100193,2019-01-04,indoor,7,V7,Climb Central Manilla,green,"Green crimps to pinches, traverse left to finish hold",face,"crimp, pinch",natural,
100194,2019-01-12,indoor,8,V8,Dogpatch,white,"White dyno start, crimpy finish, on expansion overhang",overhang,"crimp, sloper",dyno,Kurt Jalapeno
100195,2019-02-09,indoor,6,V6,Dogpatch,purple,"Purple comp dyno to the right, easy finish on jugs",overhang,jug,comp,Kurt Jalapeno
100196,2019-02-26,indoor,9,V9,Dogpatch,blue,Blue crimps on the wave,face,crimp,natural,Morgan McGehee
100197,2019-03-05,indoor,9,V9,Dogpatch,purple,Purple crimps in the back,slab,crimp,natural,Nilo Batle
100198,2019-03-06,indoor,7,V7,Dogpatch,purple,"Purple dyno to a jug, jump dyno to the left, easy finish",face,jug,comp,Nick Noel
100199,2018-04-09,indoor,8,V8,Diablo Rock,purple,Purple comp dyno,face,sloper,comp,
100200,2019-05-03,indoor,9,V9,Dogpatch,orange,Orange overhung pinches,overhang,pinch,natural,Max Krimmer
100201,2019-05-04,indoor,9,V9,The Studio Climbing,colorless,"Two dynos, followed by sketchy crimps",overhang,crimp,dyno,James Shen
100202,2019-05-10,indoor,9,V9,Dogpatch,white,"White undercling start, sideways dyno, followed by straight up dyno high off the ground",overhang,jug,natural,Max Krimmer
100203,2019-05-17,indoor,10,V10,Great Western,orange,Powerful orange pinches,overhang,pinch,natural,Nilo Batle
100204,2019-06-14,indoor,6,V6,Dogpatch,purple,Purple foot chips,slab,crimp,natural,Nilo Batle
100205,2019-06-18,indoor,7,V7,Diablo Rock,red,"Red crimps, dyno to a jug",face,crimp,natural,Colin Baxter Green
100206,2019-06-19,indoor,6,V6,Great Western,orange,"Orange pinches, double-clutch dyno to the left",overhang,pinch,dyno,
100207,2019-06-24,indoor,9,V9,Dogpatch,white,"White dyno start, crimpy finish, on the arch",overhang,crimp,dyno,Max Krimmer
100208,2019-07-21,indoor,7,V7,Dogpatch,purple,"Purple plate crimps, dyno to the right, hold the swing, Womxn Up Comp Problem # 58",overhang,crimp,natural,
100209,2019-07-21,indoor,8,V8,Dogpatch,blue,"Blue jump dyno to the left, sketchy topout, Womxn Up Comp Problem # 58",face,crimp,comp,
100210,2019-07-23,indoor,8,V8,Dogpatch,black,"Black pinches on 30 degree wall, dyno to the top, Womxn Up Comp Problem # 59",overhang,pinch,natural,Zoey Grinstead
100211,2019-08-12,indoor,11,V11,Dogpatch,orange,"Orange crimps and pinches, dynamic",overhang,"crimp, pinch",natural,
100212,2019-09-28,indoor,6,V6,Berkeley Ironworks,black,"Black plate crimps, double dyno to the left",face,crimp,dyno,
100213,2019-10-23,indoor,9,V9,Dogpatch,orange,"Orange pinches, pogo dyno, easy mantle",overhang,pinch,dyno,Kurt Jalapeno
100214,2019-11-13,indoor,7,V7,Berkeley Ironworks,white,"White undercling start, left hand to a plate crimp, pogo to a double clutch, simple dyno to finish",overhang,crimp,comp,EZ
100215,2019-11-24,indoor,5,V5,Sportrock Alexandria,red,Red jump-and-catch double clutch dyno,face,jug,comp,
100216,2019-11-24,indoor,6,V6,Sportrock Alexandria,red,"Red crimps, traverse left, then straight up an arete, very difficult flash",face,crimp,natural,Alex Brown
100217,2019-11-24,indoor,7,V7,Sportrock Alexandria,purple,"Purple crimps, hulk-like right hand cross deadpoint to a crimp, traverse right on crimps",face,crimp,natural,Alex Brown
100218,2019-11-24,indoor,6,V6,Sportrock Alexandria,red,"Red jump across the mat onto a jug, pinchy, compression top, Male #2",overhang,pinch,comp,
100219,2019-11-29,indoor,8,V8,Sportrock Alexandria,green,"Green undercling to some crimps, traverse right on pinch blocks, desperate last two moves",face,pinch,natural,Jeremiah D Cantrell
100220,2019-12-15,indoor,8,V8,Berkeley Ironworks,red,"Red overhanging crimps, toe-hook two moves in",overhang,crimp,natural,
100221,2019-12-16,indoor,8,V8,Diablo Rock,green,"Green jugs underneath roof, come out onto crimps, dyno for a crimp, jug traverse left to finish",overhang,crimp,natural,Kurt Jalapeno
100222,2019-12-22,indoor,7,V7,Mesa Rim Mission Valley,purple,"Purple crimps and pinches on a face, difficult traverse in the middle",face,"crimp, pinch",natural,Nolan
100223,2019-12-22,indoor,8,V8,Mesa Rim Mission Valley,white,"White crimps, perch on bad foot to reach a far-left sidepull gaston",face,crimp,natural,Leo
100224,2019-12-23,indoor,7,V7,Grotto Climbing,purple,"Purple big moves on  crimps, sketchy top way off the deck, pumpy and long",cave,"crimp, pinch",natural,
100225,2020-01-07,indoor,9,V9,Berkeley Ironworks,green,"Green pinches, dynamic moves across an overhang",overhang,pinch,natural,KSO
100226,2020-01-14,indoor,8,V8,Dogpatch,yellow,"Yellow comp style pinches, huge windmill dyno to a sloper",arete,pinch,comp,
100227,2020-01-23,indoor,8,V8,Dogpatch,purple,"Purple compression roof, large power moves with cut feet",cave,"crimp, jug",natural,YIM
100228,2020-01-25,indoor,8,V8,Berkeley Ironworks,white,"White left pogo to catch a crimp, grab a sloper, then traverse right to hold a barndoor using a gaston, desperate",face,crimp,natural,
100229,2020-01-28,indoor,9,V9,Mission Cliffs,blue,"Blue start underneath in the cave, big move out, compress on crimps",overhang,crimp,natural,Morgan McGehee
100230,2020-02-13,indoor,8,V8,Mission Cliffs,green,Green crimps along arete. Traverse left through a sloper to some crimps.,arete,crimp,natural,Kris Vidal
100231,2020-02-16,indoor,9,V9,Planet Granite Santa Clara,blue,"Blue start underneath a roof with a knee bar, reach out to sloper, big move to a crimp, sloper finish",overhang,sloper,natural,
100232,2020-02-18,indoor,9,V9,Dogpatch,blue,"Blue compression problem in overhang section of on back topout, big move to the lip, campus, then easy mantle finish",overhang,crimp,natural,WWF
100233,2020-02-27,indoor,8,V8,Ironworks,black,"Black compression arete on slopers, balancey finish hold.",arete,sloper,natural,JK
100234,2020-03-02,indoor,7,V7,Dogpatch,black,"Black 1-2 dyno to arete, easy finish around corner",overhang,jug,comp,Kurt Jalapeno
100235,2020-03-02,indoor,8,V8,Dogpatch,pink,"Pink crimps, traverse to left, then right",face,crimp,natural,Nick Noel
100236,2020-03-15,indoor,8,V8,Mission Cliffs,white,White crimps,face,crimp,natural,Colin Baxter Green
100237,2020-06-08,indoor,5,V5,Mesa Rim Reno,yellow,Yellow dyno,face,jug,dyno,
100238,2020-06-10,indoor,7,V7,Mesa Rim Reno,black,"Black undercling to some crimps, come out from under roof, more crimps",overhang,crimp,natural,
100239,2020-06-10,indoor,6,V6,Mesa Rim Reno,yellow,"Yellow compression start, big moves between jugs",overhang,jug,natural,
100240,2020-06-10,indoor,6,V6,Mesa Rim Reno,red,Red crimps,face,crimp,natural,
100241,2020-06-12,indoor,7,V7,Mesa Rim Reno,yellow,Yellow big moves between squre pinches,overhang,pinch,natural,
100242,2020-06-12,indoor,7,V7,Mesa Rim Reno,purple,"Purple crimps, jump required",face,crimp,natural,
100243,2020-06-12,indoor,7,V7,Mesa Rim Reno,white,"White crimps, flash",face,crimp,natural,
100244,2020-06-12,indoor,6,V6,Mesa Rim Reno,purple,"Purple crimps on an arete, very difficult",arete,crimp,natural,
100245,2020-06-16,indoor,6,V6,Sacramento Pipeworks,black,"Black undercling start, crimps on an overhang",overhang,crimp,natural,
100246,2020-06-18,indoor,6,V6,Boulder Field,orange,"Orange slab, jump from crimps to top",slab,crimp,natural,
100247,2020-06-18,indoor,6,V6,Boulder Field,purple,Purple pinches on an overhang,overhang,pinch,natural,
100248,2020-06-18,indoor,7,V7,Boulder Field,black,Black crimps and pockets,face,"crimp, pocket",natural,
100249,2020-06-18,indoor,5,V5,Boulder Field,red,Red big moves between pinches,overhang,pinch,natural,
100250,2020-06-18,indoor,6,V6,Boulder Field,purple,Purple slab with crimps,slab,crimp,natural,
100251,2020-06-23,indoor,7,V7,Boulder Field,purple,Purple slab with crimps and pinches,slab,"crimp, pinch",natural,
100252,2020-06-23,indoor,5,V5,Boulder Field,red,Red slab with vertical pinches,slab,pinch,natural,
100253,2020-06-23,indoor,6,V6,Boulder Field,red,"Red slab with crimps, weird balancey move near top",slab,crimp,natural,
100254,2020-06-26,indoor,8,V8,Mesa Rim Reno,yellow,"Yellow start on arete, move to face, mantle over a pinch near top",face,"crimp, pinch",natural,
100255,2020-06-26,indoor,6,V6,Mesa Rim Reno,purple,"Purple comp-style slab, use crimps and volumes to move over a sloper",slab,crimp,comp,
100256,2020-06-26,indoor,6,V6,Mesa Rim Reno,orange,"Orange coordination dyno, easy top on pinches",face,"crimp, pinch",comp,
100257,2020-09-17,indoor,6,V6,Beta Bouldering,black,"Black traverse right past sloper, traverse left to finish hold",face,sloper,natural,
100258,2020-09-27,indoor,8,V8,Planet Granite Belmont,blue,"Blue start on arete, move to compression pinches, big dyno left to a sloper",overhang,"pinch, sloper",compression,
100259,2020-10-15,indoor,6,V6,Planet Granite Sunnyvale,red,Red crimps,face,crimp,natural,
100260,2020-10-21,indoor,9,V9,Diablo Rock,purple,"Purple cave start, move between pinches, crimp to finish",cave,"crimp, pinch",natural,Jyee
100261,2020-11-13,indoor,7,V7,Planet Granite Santa Clara,green,"Green crimps, knee bar in the middle, desperate top",overhang,crimp,natural,
100262,2020-11-16,indoor,7,V7,Dogpatch,blue,Blue paddle-dyno,overhang,jug,comp,YIM
100263,2020-11-16,indoor,9,V9,Dogpatch,white,"White knee bar on pinches, upside-down knee-bar to a crimp, undercling to a handjam, desperate finish on crimps",overhang,"crimp, pinch",comp,Nilo Batle
200001,2016-12-11,outdoor,0,V0,Joshua Tree,green,Discount Dyno,face,"crimp, sloper",natural,
200002,2016-12-11,outdoor,0,V0,Joshua Tree,green,Unnamed on Discount Dyno boulder,arete,"crimp, sloper",natural,
200003,2016-12-11,outdoor,3,V3,Joshua Tree,blue,Turnbuckle,face,crimp,natural,
200004,2016-12-11,outdoor,0,V0,Joshua Tree,green,Unnamed slab 5.8 (#50),slab,crimp,natural,
200005,2016-12-14,outdoor,2,V2,Joshua Tree,blue,Barker Dam Lip Traverse FA,overhang,jug,natural,FA
200006,2016-12-14,outdoor,0,V0,Joshua Tree,green,Unnamed V0+ in The Chube cluster (#59),face,crimp,natural,
200007,2016-12-26,outdoor,0,V0,Castle Rock,green,Unnamed V0 on Groundation boulder,overhang,jug,natural,
200008,2017-01-14,outdoor,3,V3,Red Rocks,blue,Fin,arete,crimp,natural,
200009,2017-01-14,outdoor,2,V2,Red Rocks,green,Put Your Shoes On Arete,arete,crimp,natural,
200010,2017-01-14,outdoor,2,V2,Red Rocks,green,Fluffer,face,jug,natural,
200011,2017-01-14,outdoor,2,V2,Red Rocks,blue,Potato Chips,overhang,crimp,natural,"Scott Gordon, Jon Martinet, Randal Grandstaff"
200012,2017-01-14,outdoor,2,V2,Red Rocks,green,Perked Up,arete,crimp,natural,
200013,2017-01-15,outdoor,3,V3,Henderson Boulders,green,Unnamed Left Face on the Downstream Boulders (#73),face,crimp,natural,
200014,2017-01-15,outdoor,2,V2,Henderson Boulders,green,Unnamed Right Face on the Downstream Boulders (#74),face,crimp,natural,
200015,2017-01-15,outdoor,2,V2,Henderson Boulders,blue,Ultra Classic,overhang,"crimp, jug",natural,
200016,2017-02-13,outdoor,2,V2,Castle Rock,blue,Domino Theory,face,crimp,natural,
200017,2017-02-13,outdoor,1,V1,Castle Rock,green,Mrs. Magoo Groove,slab,sloper,natural,
200018,2017-02-13,outdoor,2,V2,Castle Rock,green,Mr. Magoo Face Sit Start,face,crimp,natural,
200019,2017-02-13,outdoor,1,V1,Castle Rock,green,Dog Dish Warm-Up,face,crimp,natural,
200020,2017-02-13,outdoor,3,V3,Castle Rock,blue,Magoo Slab,face,sloper,natural,
200021,2017-02-13,outdoor,1,V1,Castle Rock,green,"Mr. Magoo Unnamed, to the right of overhanging lieback",face,jug,natural,
200022,2017-02-13,outdoor,1,V1,Castle Rock,green,Mr. Magoo (with knee bar),overhang,jug,natural,
200023,2017-02-25,outdoor,4,V4,Castle Rock,blue,Beak Traverse,face,"jug, pinch",dyno,Barry Bates
200024,2017-02-25,outdoor,0,V0,Castle Rock,green,Unnamed V0 in Backside Boulders,face,jug,natural,
200025,2017-02-26,outdoor,2,V2,Berkeley Indian Rock,green,Number 3 Crack,arete,crimp,natural,
200026,2017-02-26,outdoor,2,V2,Berkeley Indian Rock,green,Little Prow,arete,jug,natural,
200027,2017-02-26,outdoor,3,V3,Berkeley Indian Rock,green,Ape Traverse early exit,overhang,jug,natural,
200028,2017-02-26,outdoor,1,V1,Berkeley Indian Rock,green,Pegboard,face,jug,natural,
200029,2017-02-26,outdoor,0,V0,Castle Rock,green,Indian Face Warm-up,face,jug,natural,
200030,2017-02-26,outdoor,0,V0,Castle Rock,green,Roid Rage,face,jug,natural,
200031,2017-02-26,outdoor,2,V2,Castle Rock,green,Raw Honey,overhang,"jug, sloper",natural,
200032,2017-02-26,outdoor,3,V3,Castle Rock,green,Sticky Rice,overhang,jug,natural,
200033,2017-03-11,outdoor,5,V5,Castle Rock,blue,Bate’s Problem,face,"sloper, crimp",dyno,Barry Bates
200034,2017-03-19,outdoor,3,V3,Castle Rock,blue,Lost Keys Face,face,sloper,mantle,
200035,2017-04-02,outdoor,6,V6,Castle Rock,orange,Lost Keys Traverse,overhang,"jug, sloper, crimp",natural,Jeremy Meigs
200036,2017-04-02,outdoor,4,V4,Castle Rock,blue,Santa Cruz Dude,face,crimp,natural,Chris Sharma
200037,2017-04-02,outdoor,3,V3,Castle Rock,green,Sticky Rice Link Up,overhang,jug,natural,
200038,2017-04-02,outdoor,1,V1,Castle Rock,green,The Shark Variation,cave,jug,natural,
200039,2017-04-29,outdoor,1,V1,Castle Rock,green,Funky Arete in the Nature Nazi area,arete,crimp,natural,
200040,2017-04-29,outdoor,0,V0,Castle Rock,green,Unnamed V0 slab left,slab,crimp,natural,
200041,2017-04-29,outdoor,0,V0,Castle Rock,green,Unnamed V0 slab right,slab,crimp,natural,
200042,2017-04-29,outdoor,2,V2,Castle Rock,blue,Minimalism,slab,crimp,natural,
200043,2017-04-29,outdoor,4,V4,Castle Rock,blue,Santa Cruz Dude,face,crimp,dyno,Chris Sharma
200044,2017-05-08,outdoor,1,V1,Castle Rock,green,Mr. Magoo Dyno,face,sloper,dyno,
200045,2017-05-14,outdoor,0,V0,Columbia College,green,The Off-Width,crack,jug,natural,
200046,2017-05-14,outdoor,3,V3,Columbia College,blue,The Gold Wall,overhang,sloper,natural,
200047,2017-05-14,outdoor,3,V3,Columbia College,blue,Falkenstein Crack,overhang,"crimp, jug",natural,
200048,2017-05-21,outdoor,1,V1,Mount Tamalpais,green,The Best Damn,slab,crimp,natural,
200049,2017-05-21,outdoor,1,V1,Mount Tamalpais,green,Contact High,slab,crimp,natural,
200050,2017-05-21,outdoor,2,V2,Mount Tamalpais,blue,The Old Man Card,face,sloper,mantle,
200051,2017-05-31,outdoor,2,V2,Bishop Happy Boulders,blue,Auto-Gedden (Jesus Chrysler Traverse),overhang,"crimp, jug",natural,
200052,2017-05-31,outdoor,3,V3,Bishop Happy Boulders,green,Monkey Hang,cave,jug,natural,
200053,2017-05-31,outdoor,4,V4,Bishop Happy Boulders,blue,Impulse Control,overhang,"crimp, sloper",natural,Chris Tracy
200054,2017-06-04,outdoor,1,V1,Mickey’s Beach,green,Diagonal Ramp on the Orange Buddha Boulder,face,crimp,natural,
200055,2017-06-04,outdoor,2,V2,Mickey’s Beach,green,Baseball on the Orange Buddha Boulder (used to be V4),face,crimp,natural,
200056,2017-06-04,outdoor,1,V1,Mickey’s Beach,green,"Don’t worry, be slappy (used to be V6)",face,crimp,natural,
200057,2017-06-04,outdoor,2,V2,Stinson Beach,blue,Unnamed slab,slab,crimp,natural,
200058,2017-06-04,outdoor,1,V1,Stinson Beach,green,Warm Up Arete,arete,crimp,natural,
200059,2017-06-04,outdoor,1,V1,Stinson Beach,green,Unnamed south face,overhang,crimp,natural,
200060,2017-06-11,outdoor,1,V1,Castle Rock,green,Mr. Magoo Run and Jump,face,jug,comp,
200061,2017-06-11,outdoor,2,V2,Castle Rock,blue,Domino Theory (dyno beta),face,"crimp, jug",dyno,
200062,2017-07-07,outdoor,3,V3,Black Mountain,blue,Gypsy’s Day Out,overhang,crimp,natural,
200063,2017-07-07,outdoor,1,V1,Black Mountain,green,Little Saigon Left Arete,overhang,crimp,natural,
200064,2017-07-07,outdoor,0,V0,Black Mountain,green,Unnamed 5.9 slab,slab,crimp,natural,
200065,2017-07-07,outdoor,2,V2,Black Mountain,blue,Front Wheel Drive,slab,crimp,natural,
200066,2017-07-07,outdoor,0,V0,Joshua Tree,green,Pork Rinds 5.8 (#9),face,"jug, pinch",natural,
200067,2017-07-08,outdoor,0,V0,Joshua Tree,green,Pothole Mantle #2,face,sloper,mantle,
200068,2017-07-08,outdoor,0,V0,Joshua Tree,green,Pothole Problem #2,face,sloper,mantle,
200069,2017-07-08,outdoor,0,V0,Joshua Tree,green,Pothole Mantle #1,face,sloper,mantle,
200070,2017-07-09,outdoor,2,V2,Grizzly Peak,green,Main Boulder East Face,overhang,"crimp, jug",natural,
200071,2017-07-16,outdoor,2,V2,Salt Point State Park,green,Lieback,overhang,jug,natural,
200072,2017-07-16,outdoor,2,V2,Salt Point State Park,green,Unnamed V2 to the right of The Slap,overhang,sloper,natural,
200073,2017-07-16,outdoor,5,V5,Salt Point State Park,blue,The Slap,overhang,crimp,natural,
200074,2017-07-16,outdoor,4,V4,Salt Point State Park,blue,Tufatafoni Traverse,cave,jug,natural,
200075,2017-07-23,outdoor,3,V3,Salt Point State Park,blue,Quarry Traverse,overhang,jug,natural,
200076,2017-07-23,outdoor,2,V2,Salt Point State Park,green,Mantle 101,overhang,jug,mantle,
200077,2017-07-23,outdoor,0,V0,Salt Point State Park,green,I’m a Mountain Goat,slab,crimp,natural,FA
200078,2017-08-14,outdoor,4,V4,Salt Point State Park,blue,Triceratops,cave,"crimp, jug",natural,
200079,2017-08-14,outdoor,6,V6,Salt Point State Park,orange,Music Box By the Sea,cave,crimp,natural,FA
200080,2017-09-03,outdoor,4,V4,Joshua Tree,blue,Sloper Safari,overhang,"jug, sloper",natural,
200081,2017-09-05,outdoor,2,V2,Joshua Tree,blue,Bulgemaster,overhang,sloper,natural,
200082,2017-09-05,outdoor,4,V4,Joshua Tree,blue,Little Chucky,face,"crimp, pinch",natural,
200083,2017-09-05,outdoor,2,V2,Joshua Tree,green,"Dino’s Egg, Sit Down Flake",overhang,jug,natural,
200084,2017-09-29,outdoor,1,V1,Berkeley Indian Rock,green,Watercourse,face,jug,natural,
200085,2017-10-01,outdoor,6,V6,Grizzly Peak,orange,Tractor Pull,face,crimp,natural,
200086,2017-10-14,outdoor,4,V4,"Lincoln Woods State Park, RI",blue,Tombstone,overhang,"crimp, jug",natural,
200087,2017-10-14,outdoor,5,V5,"Lincoln Woods State Park, RI",blue,Try Again,face,jug,dyno,Ed Sewall
200088,2017-10-16,outdoor,3,V3,"Lynn Woods, MA",blue,Bloody Sunset,face,crimp,natural,FA?
200089,2017-10-21,outdoor,4,V4,"Central Park, NY",green,Sub Atomic Nuclear Penguin,face,crimp,natural,
200090,2017-11-05,outdoor,6,V6,Red Rocks,orange,"Monkey Bars, Right",overhang,"crimp, jug",natural,Danny Rider
200091,2017-11-05,outdoor,5,V5,Red Rocks,orange,Umpa Lumpa,variable,"crimp, sloper",natural,
200092,2017-11-06,outdoor,3,V3,Red Rocks,blue,Brown Round Crack,face,crimp,natural,
200093,2017-11-06,outdoor,3,V3,Red Rocks,blue,Peruvian Left,slab,crimp,natural,Randal Grandstafff
200094,2017-12-02,outdoor,7,V7,Castle Rock,orange,Bate’s Eliminate,face,crimp,dyno,Barry Bates
200095,2017-12-10,outdoor,3,V3,Castle Rock,blue,The Swim,face,sloper,mantle,
200096,2017-12-18,outdoor,0,V0,Yosemite,green,Slab behind Columbia Boulder,slab,crimp,natural,
200097,2017-12-18,outdoor,0,V0,Yosemite,green,Columbia Boulder Artificial Slab 5.9,slab,crimp,natural,
200098,2017-12-18,outdoor,2,V2,Yosemite,blue,Unnamed Warm-up on the Tile Boulder,face,crimp,natural,
200099,2017-12-18,outdoor,4,V4,Yosemite,blue,Zorro,face,"crimp, jug",dyno,
200100,2017-12-19,outdoor,4,V4,Yosemite,blue,Tendon’s Give,overhang,"crimp, jug",dyno,
200101,2017-12-23,outdoor,1,V1,Bishop Buttermilks,blue,A Birthing Experience,overhang,crimp,comp,
200102,2017-12-23,outdoor,5,V5,Bishop Buttermilks,orange,Devoted Traverse,overhang,"crimp, jug",natural,
200103,2017-12-26,outdoor,2,V2,Bishop Buttermilks,green,Sheepherder,face,sloper,natural,
200104,2017-12-26,outdoor,3,V3,Bishop Buttermilks,blue,Birthday Direct,face,crimp,natural,
200105,2017-12-27,outdoor,1,V1,Bishop Happy Boulders,blue,Heavenly Path,slab,crimp,natural,
200106,2017-12-27,outdoor,2,V2,Bishop Happy Boulders,blue,Kling and Smirk,overhang,"crimp, sloper",natural,
200107,2017-12-27,outdoor,4,V4,Bishop Happy Boulders,blue,Ketron Classic,overhang,crimp,natural,Brian Ketron
200108,2017-12-27,outdoor,5,V5,Bishop Happy Boulders,blue,Serengeti,overhang,crimp,natural,Marty Lewis
200109,2017-12-27,outdoor,7,V7,Bishop Happy Boulders,orange,"Acid Wash Right, Stand Start",overhang,crimp,natural,Dustin Sabo
200110,2017-12-28,outdoor,0,V0,Bishop Sad Boulders,green,Brown Slab,slab,crimp,natural,
200111,2017-12-28,outdoor,2,V2,Bishop Sad Boulders,green,World Shut Your Mouth,face,crimp,natural,
200112,2017-12-28,outdoor,5,V5,Bishop Sad Boulders,blue,Molly Dyno,face,crimp,dyno,
200113,2017-12-28,outdoor,0,V0,Bishop Sad Boulders,green,Hands-Free Slab,slab,crimp,natural,
200114,2017-12-28,outdoor,0,V0,Bishop Sad Boulders,green,Hands-on Slab,slab,crimp,natural,
200115,2017-12-29,outdoor,2,V2,Bishop Buttermilks,green,The Prow,face,jug,natural,
200116,2017-12-29,outdoor,5,V5,Bishop Buttermilks,orange,Fly Boy Arete,arete,crimp,natural,
200117,2017-12-30,outdoor,4,V4,Bishop Happy Boulders,orange,Solarium,face,crimp,natural,Marty Lewis
200118,2017-12-30,outdoor,6,V6,Bishop Happy Boulders,orange,The Hulk,overhang,crimp,natural,Peter Croft
200119,2017-12-30,outdoor,5,V5,Bishop Happy Boulders,orange,Sucker Punch,face,crimp,natural,
200120,2017-12-31,outdoor,0,V0,Bishop Sad Boulders,green,Gotta Be Kidding Me Slab,slab,jug,natural,
200121,2017-12-31,outdoor,3,V3,Bishop Sad Boulders,blue,Hauck a Loogie,overhang,crimp,natural,
200122,2017-12-31,outdoor,0,V0,Bishop Sad Boulders,green,Flush VB,slab,jug,natural,
200123,2017-12-31,outdoor,6,V6,Bishop Happy Boulders,orange,The Gleaner,overhang,crimp,natural,Peter Croft
200124,2018-01-01,outdoor,0,V0,Bishop Buttermilks,green,Unnamed Sunshine Slab,slab,crimp,natural,
200125,2018-01-01,outdoor,1,V1,Bishop Buttermilks,green,Good Morning Sunshine,slab,crimp,natural,
200126,2018-01-01,outdoor,2,V2,Bishop Buttermilks,blue,Green Wall Essential,face,crimp,natural,
200127,2018-01-01,outdoor,4,V4,Bishop Buttermilks,blue,Iron Man Traverse,overhang,jug,natural,Tony Pupo
200128,2018-01-01,outdoor,0,V0,Bishop Buttermilks,blue,Robinson’s Rubber Tester,slab,sloper,natural,
200129,2018-01-02,outdoor,3,V3,Bishop Sad Boulders,blue,Maximum Relaxum,cave,jug,natural,
200130,2018-01-03,outdoor,1,V1,Bishop Buttermilks,blue,"Buttermilks Stem, Stand Start",corner,sloper,natural,
200131,2018-01-03,outdoor,4,V4,Bishop Buttermilks,blue,"Buttermilks Stem, Sit Start",overhang,"jug, sloper",natural,
200132,2018-03-12,outdoor,0,V0,Castle Rock,green,Run and Jump in the Nature Nazi Area,face,jug,comp,
200133,2018-03-12,outdoor,2,V2,Castle Rock,green,"Naked Nazi, Stand Start",arete,crimp,natural,
200134,2018-04-01,outdoor,1,V1,Bishop Happy Boulders,green,Totty Corridor Traverse,face,crimp,natural,
200135,2018-04-01,outdoor,0,V0,Bishop Happy Boulders,green,Strange Quotations,face,jug,natural,
200136,2018-04-01,outdoor,2,V2,Bishop Happy Boulders,blue,"Exit the Rat, Sit Start",face,crimp,natural,
200137,2018-04-01,outdoor,0,V0,Bishop Buttermilks,green,Yo Basecamp,slab,crimp,natural,
200138,2018-04-01,outdoor,1,V1,Bishop Buttermilks,blue,"Birthday Left, Sit Start",face,crimp,natural,
200139,2018-04-01,outdoor,0,V0,Bishop Buttermilks,green,Hero Roof,overhang,jug,natural,
200140,2018-04-02,outdoor,0,V0,Bishop Sad Boulders,green,"Big Brown Slab, East Center Face",face,crimp,natural,
200141,2018-04-16,outdoor,3,V3,Bishop Happy Boulders,green,Slap Happy,overhang,jug,natural,Chris Tracy
200142,2018-04-23,outdoor,2,V2,Castle Rock,green,Overhanging Lieback,overhang,jug,natural,
